"country","code","year","prod_ktOil","use_ktOil","nuclearPerc","importPerc","renewPerc","fosilPerc"
"Guatemala","GTM",1995,3843.706,5320.383,3.06959104259975,27.7550883084921,60.2558500017762,36.6179652855819
"Guatemala","GTM",1996,4214.617,5468.528,2.94240058750728,22.9295890960054,59.3868039077426,37.706984402384
"Guatemala","GTM",1997,4620.672,5722.104,2.76992518835729,19.2487238959656,59.108817316148,38.2535165386718
"Guatemala","GTM",1998,5007.38,6222.672,3.01147159933868,19.530066826598,54.8244387619981,42.2166072709601
"Guatemala","GTM",1999,5389.67,6835.418,3.07125328692408,21.1508352525039,56.9381711550047,40.3101463582768
"Guatemala","GTM",2000,5270.503,7040.728,3.32880349872911,25.1426414995722,55.2544424383388,42.2766651403094
"Guatemala","GTM",2001,5265.563,7188.292,2.92173718040391,26.7480647697673,54.1221475143191,43.2444452729522
"Guatemala","GTM",2002,5432.145,7248.341,2.4678198776796,25.0567129774937,53.673771694792,44.3151888135506
"Guatemala","GTM",2003,5640.231,7435.93,4.39550937138999,24.1489497614959,53.0872533765111,42.9763862758256
"Guatemala","GTM",2004,5601.599,7784.529,5.55747174941477,28.041902085534,52.0462060068117,42.8636337535643
"Guatemala","GTM",2005,5456.663,7854.987,5.75993314820254,30.5325011995564,50.7469840497508,43.8346747104737
"Guatemala","GTM",2006,5413.825,7940.222,5.62083780529058,31.817712401492,51.4256780226044,43.0401190294176
"Guatemala","GTM",2007,5680.346,8527.505,5.90865675247332,33.3879487610972,50.8815180993737,43.3348675843638
"Guatemala","GTM",2008,5643.01,8157.03,6.98520172170508,30.8202863051871,52.7096994862101,40.3799544687221
"Guatemala","GTM",2009,6418.383,9317.885,5.88354546122859,31.1175980386107,54.9895174709711,39.1795455728419
"Guatemala","GTM",2010,7535.852,10250.874,5.03622422829507,26.4857611165643,62.0384466729374,32.7382523675542
"Guatemala","GTM",2011,7332.062,10163.493,3.98826466452036,27.8588375079316,62.2066940962128,33.514796536978
"Guyana","GUY",1990,NA,382.08588,NA,NA,NA,0
"Guyana","GUY",2004,NA,479,NA,NA,NA,0
"Guyana","GUY",2005,NA,495,NA,NA,NA,0
"Guyana","GUY",2006,NA,500,NA,NA,NA,0
"Guyana","GUY",2007,NA,500,NA,NA,NA,0
"Haití","HTI",1971,1378.001,1504.376,0.154349710444729,8.40049296186592,91.4451573276894,8.40036001637889
"Haití","HTI",1972,1430.735,1549.82,0.438373488534152,7.6837955375463,91.8778309739196,7.6837310139242
"Haití","HTI",1973,1467.199,1589.458,0.454494550972722,7.69186729061101,91.8536381584162,7.69180437608292
"Haití","HTI",1974,1519.861,1655.641,0.654489711235709,8.20105324765453,91.1444570411098,8.20099284808724
"Haití","HTI",1975,1575.66,1714.394,0.8628121656982,8.09230550270241,91.0448823315994,8.09230550270241
"Haití","HTI",1976,1623.177,1817.376,0.804456535136373,10.6856808937721,88.5098625710915,10.6856258693853
"Haití","HTI",1977,1672.713,1871.814,0.707548933815005,10.6367940404335,88.6556570257515,10.6368474645451
"Haití","HTI",1978,1735.007,1951.484,0.837311502425846,11.0929426016303,88.0697458959438,11.0929938446844
"Haití","HTI",1979,1807.493,2028.539,0.822463852062987,10.8968079982687,88.2807281496683,10.8968572948314
"Haití","HTI",1980,1876.832,2082.97,0.908318410730832,9.89634992342663,89.1953316658425,9.89634992342665
"Haití","HTI",1981,1568.957,1733.98,1.23496234097279,9.51700711657573,89.2480305424515,9.51700711657574
"Haití","HTI",1982,1588.128,1797.583,1.15777685926046,11.6520349825293,87.1901881582102,11.6520906127839
"Haití","HTI",1983,1610.168,1849.803,0.915881312766819,12.9546227355021,86.1294959517311,12.9545686756914
"Haití","HTI",1984,1617.542,1867.367,0.921083000824155,13.3784628302846,85.7004541688913,13.3784628302846
"Haití","HTI",1985,1632.386,1881.844,0.987116891729601,13.2560403519102,85.7568427563602,13.2560403519101
"Haití","HTI",1986,1222.614,1464.077,1.86793454169419,16.4925068831762,81.6395585751296,16.4925751855947
"Haití","HTI",1987,1243.299,1509.729,1.82284370241282,17.6475380680904,80.5296182294968,17.6475380680904
"Haití","HTI",1988,1272.535,1562.012,2.15824206216085,18.5323160129372,79.309441924902,18.5323160129372
"Haití","HTI",1989,1281.667,1591.961,2.19326981000163,19.491306633768,78.3154235562303,19.4913694493772
"Haití","HTI",1990,1252.525,1560.472,2.51859693733691,19.7342214406923,77.7471816219708,19.7342214406923
"Haití","HTI",1991,1267.876,1558.388,1.83214963154234,18.6418273241324,79.5260230443253,18.6417631552604
"Haití","HTI",1992,1347.072,1618.305,1.70585890793145,16.7603140322745,81.533827059794,16.7603758253234
"Haití","HTI",1993,1339.065,1563.819,1.50682399945262,14.3721236281181,84.1210523724293,14.3721236281181
"Haití","HTI",1994,1373.341,1436.45,1.39496675832782,4.39340039681159,94.2116328448606,4.39347001287897
"Haití","HTI",1995,1392.327,1693.198,1.28502396057638,17.7693925931876,80.945583446236,17.7692744735111
"Haití","HTI",1996,1596.439,1943.594,1.20354353841389,17.861497823105,80.9349586384811,17.861497823105
"Haití","HTI",1997,1588.146,2047.969,0.839856462671066,22.4526347810929,76.7075087562361,22.452683609957
"Haití","HTI",1998,1626.133,2049.492,1.28402550485681,20.6567773867866,78.0591971083566,20.6567773867866
"Haití","HTI",1999,1619.22,2076.777,1.67711795729633,22.0320718112729,76.2908102314307,22.0320718112729
